layer,z_mm,segments,support_segments,island_candidates_ge_0_25mm2,largest_island_candidate_mm2,occupied_raster_area_mm2
216,26.4,17,0,0,0.0,37.438
217,26.52,22,22,0,0.0,4.562
218,26.6,17,0,0,0.0,37.438
219,26.8,38,21,0,0.0,41.75
220,27.0,17,0,0,0.0,37.438
221,27.2,75,0,0,0.0,44.438
222,27.4,74,0,0,0.0,44.375
223,27.6,74,0,0,0.0,44.375
224,27.8,74,0,0,0.0,44.375
225,28.0,74,0,0,0.0,44.438
226,28.2,74,0,0,0.0,44.438
227,28.4,74,0,0,0.0,44.438
228,28.6,74,0,0,0.0,44.438
229,28.8,74,0,0,0.0,44.438
230,29.0,74,0,0,0.0,44.438
231,29.2,74,0,0,0.0,44.438
232,29.4,74,0,0,0.0,44.438
233,29.6,74,0,0,0.0,44.438
234,29.8,74,0,0,0.0,44.438
235,30.0,74,0,0,0.0,44.438
236,30.2,74,0,0,0.0,44.438
237,30.4,74,0,0,0.0,44.438
238,30.6,74,0,0,0.0,44.438
239,30.8,74,0,0,0.0,44.438
240,31.0,74,0,0,0.0,44.438
241,31.2,74,0,0,0.0,44.438
242,31.4,74,0,0,0.0,44.438
243,31.6,74,0,0,0.0,44.438
244,31.8,74,0,0,0.0,44.438
245,32.0,74,0,0,0.0,44.438
246,32.2,74,0,0,0.0,44.438
247,32.4,74,0,0,0.0,44.375
248,32.6,74,0,0,0.0,44.375
249,32.8,74,0,0,0.0,44.375
250,33.0,99,0,0,0.0,44.438
