channel,assumed_source_ohm,scenario,corners,gain_min,gain_max,residual_100ms_max,residual_10s_max,residual_20s_max,slowest_network_pole_tau_max_s,resistor_rms_0_to_infinity_max_uV
O2,0,initial_tolerance,16384,0.999898899111311,0.999901098891309,6.833500432179562e-11,0.0,0.0,2.2331100000001385,0.06746130880130614
O2,0,initial_plus_temperature,16384,0.9998985799073307,0.9999014047837048,2.5546875725979135e-10,0.0,0.0,2.5744331250001933,0.06290799482740257
O2,0,initial_plus_temperature_low_C,16384,0.9998985799073304,0.9999014047837051,1.2793544001965529e-11,0.0,0.0,1.9028418750001208,0.0731720630165654
O2,0,hypothetical_50pct_effective_C,16384,0.9998988991113107,0.9999010988913087,4.218847493575595e-15,0.0,0.0,1.1165550000000652,0.09540469784224659
O2,100,initial_tolerance,16384,0.9998484068223579,0.9998516061824104,1.0475953438060515e-10,0.0,0.0,2.233110000000138,0.06746130880130614
O2,100,initial_plus_temperature,16384,0.9998479598285884,0.9998520342427856,3.9156700104570064e-10,0.0,0.0,2.574433125000199,0.06290799482740257
O2,100,initial_plus_temperature_low_C,16384,0.9998479598285883,0.9998520342427857,1.9608203949417202e-11,0.0,0.0,1.9028418750001224,0.0731720630165654
O2,100,hypothetical_50pct_effective_C,16384,0.9998484068223583,0.9998516061824102,6.439293542825908e-15,0.0,0.0,1.1165550000000652,0.09540469784224659
O2,1000,initial_tolerance,16384,0.9993942055931538,0.9994063921834957,5.171237882350965e-10,0.0,0.0,2.2331100000001354,0.06746130880130614
O2,1000,initial_plus_temperature,16384,0.9993926096535772,0.9994079186692215,1.9326764633120774e-09,0.0,0.0,2.574433125000142,0.06290799482740257
O2,1000,initial_plus_temperature_low_C,16384,0.9993926096535775,0.9994079186692215,9.673306600177511e-11,0.0,0.0,1.9028418750000926,0.0731720630165654
O2,1000,hypothetical_50pct_effective_C,16384,0.9993942055931538,0.9994063921834967,3.11972669919669e-14,0.0,0.0,1.1165550000000646,0.09540469784224659
O2,10000,initial_tolerance,16384,0.9948747869686656,0.9949759624643858,0.00013463796644574977,0.0,0.0,2.233110000000138,0.06746130880130614
O2,10000,initial_plus_temperature,16384,0.9948618157716634,0.9949883664363319,0.00043066693589066674,0.0,0.0,2.574433125000207,0.06290799482740257
O2,10000,initial_plus_temperature_low_C,16384,0.9948618157716634,0.9949883664363323,2.7937753575790758e-05,0.0,0.0,1.9028418750001204,0.0731720630165654
O2,10000,hypothetical_50pct_effective_C,16384,0.9948747869686657,0.9949759624643858,1.8127382039878626e-08,0.0,0.0,1.116555000000069,0.09540469784224659
O2,100000,initial_tolerance,16384,0.9518314631447439,0.952740397390854,0.38769305833253953,0.0,0.0,2.2331100000001265,0.06746130880130614
O2,100000,initial_plus_temperature,16384,0.9517153482519758,0.9528516420462987,0.4387384347782627,0.0,0.0,2.574433125000138,0.06290799482740257
O2,100000,initial_plus_temperature_low_C,16384,0.9517153482519746,0.9528516420462987,0.3280388901299566,0.0,0.0,1.9028418750000917,0.0731720630165654
O2,100000,hypothetical_50pct_effective_C,16384,0.9518314631447437,0.9527403973908543,0.1503059074792381,0.0,0.0,1.1165550000000644,0.09540469784224659
O2,1000000,initial_tolerance,16384,0.6643848960213724,0.6688299231064584,0.8735243280986477,1.3412214209251871e-06,1.7988943668001411e-12,2.233110000000138,0.06746130880130614
O2,1000000,initial_plus_temperature,16384,0.6638208470886354,0.6693773031693045,0.8891531006499592,7.900502766666762e-06,6.241795968975339e-11,2.574433125000145,0.06290799482740257
O2,1000000,initial_plus_temperature_low_C,16384,0.6638208470886139,0.6693773031692984,0.8530377876696342,1.2497610546446936e-07,1.554312234475219e-14,1.9028418750000888,0.0731720630165654
O2,1000000,hypothetical_50pct_effective_C,16384,0.6643848960213723,0.6688299231064674,0.7630447517801937,1.7988943668001411e-12,0.0,1.1165550000000641,0.09540469784224659
He,0,initial_tolerance,64,0.9999999999999994,1.0000000000000004,0.0,0.0,0.0,0.00261393137173047,0.06746130880130614
