layer,z_mm,segments,support_segments,island_candidates_ge_0_25mm2,largest_island_candidate_mm2,occupied_raster_area_mm2
206,27.6,2148,0,0,0.0,734.0
207,27.7455,6,6,0,0.0,3.312
208,27.8,2236,0,0,0.0,736.0
209,28.0,1952,0,0,0.0,748.438
210,28.0182,6,6,0,0.0,3.312
211,28.2,1957,0,0,0.0,781.438
212,28.2909,6,6,0,0.0,3.312
213,28.4,2006,0,0,0.0,751.875
214,28.5636,6,6,0,0.0,3.312
215,28.6,1943,0,0,0.0,745.938
216,28.8,1898,0,0,0.0,735.625
217,28.8364,6,6,0,0.0,3.312
218,29.0,1985,0,0,0.0,742.688
219,29.1091,6,6,0,0.0,3.312
220,29.2,2515,0,0,0.0,712.812
221,29.3818,13,13,0,0.0,3.625
222,29.4,2457,0,0,0.0,710.125
223,29.6,2448,0,0,0.0,696.25
224,29.6545,10,10,0,0.0,3.125
225,29.8,2529,0,0,0.0,702.438
226,29.9273,4,4,0,0.0,2.562
227,30.0,2531,0,0,0.0,693.375
228,30.2,2458,4,0,0.0,690.812
229,30.4,2503,4,0,0.0,692.438
230,30.6,2441,0,0,0.0,683.688
231,30.8,2521,0,0,0.0,696.5
232,31.0,2329,0,0,0.0,682.0
233,31.2,2435,0,0,0.0,675.5
234,31.4,2338,0,0,0.0,674.188
235,31.6,2355,0,0,0.0,671.562
236,31.8,2410,0,0,0.0,699.812
237,32.0,2367,0,0,0.0,711.875
238,32.2,2133,0,0,0.0,738.688
239,32.4,2197,0,0,0.0,764.25
240,32.6,2178,0,0,0.0,761.125
241,32.8,2158,0,0,0.0,761.75
242,33.0,1270,0,0,0.0,793.438
